Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
What Are The Most-Used Words?,https://www.youtube.com/watch?v=fCg5JbISvEI,0.042643,0.045554,0.000034,0.500466,157.502061,4130.987497,2023-02-06 20:02:51,0.0753,378169.0000,0.0763,5020907,378169,0,4694,382863,1922319516741
Cooking An Egg In My Hot Car,https://www.youtube.com/watch?v=lSe73vslNJI,0.041580,0.045661,0.000043,0.500284,231.005789,6068.962680,2024-09-08 01:29:46,0.0756,291720.0000,0.0761,3861064,291720,0,2210,293930,1134882541520
The Most Valuable Thing I Own,https://www.youtube.com/watch?v=ES_9mqlKpRs,0.054815,0.045484,0.000011,0.500272,551.138458,14514.561712,2023-01-26 19:15:00,0.0754,1342207.0000,0.0759,17801509,1342207,0,9689,1351896,24065788811064
How Dark Is It On Pluto?,https://www.youtube.com/watch?v=EtyvH6XA_xU,0.052604,0.045447,0.000012,0.500284,513.830154,13542.415499,2023-04-16 19:05:11,0.0753,1169335.0000,0.0759,15525911,1169335,0,8841,1178176,18292255718336
The McGurk Effect,https://www.youtube.com/watch?v=wx4AC_QfdKE,0.042715,0.045214,0.000032,0.500628,182.809141,4821.110237,2023-05-09 21:36:48,0.0746,403909.0000,0.0758,5415843,403909,0,6811,410720,2224395036960
The Most Dangerous Thing In My Office,https://www.youtube.com/watch?v=u0BDekWpu6c,0.051675,0.045400,0.000013,0.500324,885.031728,23375.004062,2024-09-17 00:00:59,0.0751,1100782.0000,0.0757,14662205,1100782,0,9507,1110289,16279284927245
"Only Using Words That Begin With ""A""",https://www.youtube.com/watch?v=za2isHAgefY,0.039562,0.045113,0.000063,0.501113,534.955629,14187.921681,2025-12-01 20:11:44,0.0732,193548.0000,0.0754,2644901,193548,0,5903,199451,527528149351
The g-Effect,https://www.youtube.com/watch?v=tFvmwsQgvwc,0.040262,0.044950,0.000049,0.501125,592.040630,15727.999440,2025-10-29 21:58:57,0.0730,251943.0000,0.0753,3449854,251943,0,7778,259721,895999530734
Rotational Recomposition,https://www.youtube.com/watch?v=X7UpfTooZMU,0.044739,0.045077,0.000023,0.500215,401.303327,10685.468030,2024-06-19 22:51:05,0.0747,571608.0000,0.0751,7654092,571608,0,3305,574913,4400436993996
The Sizes Of History,https://www.youtube.com/watch?v=FHB8Bn3tYdY,0.060120,0.044826,0.000008,0.500297,1263.573564,33797.841521,2024-06-26 15:32:21,0.0742,1779036.0000,0.0748,23983395,1779036,0,14260,1793296,43009326319920
Hurricane Balls,https://www.youtube.com/watch?v=ulpbFjbZuA0,0.042820,0.044042,0.000027,0.501232,210.050193,5639.398077,2023-03-22 14:20:56,0.0720,475925.0000,0.0745,6607473,475925,0,16290,492215,3252297322695
The Book That Can Beat You At Tic-Tac-Toe,https://www.youtube.com/watch?v=mQuvEHEARZg,0.066666,0.044671,0.000006,0.500195,1149.969933,30879.964476,2023-09-08 19:36:38,0.0741,2291164.0000,0.0745,30924542,2291164,0,12095,2303259,71227229682378
Eastern vs Western Numerals,https://www.youtube.com/watch?v=5Br2NoZCpnI,0.043146,0.044446,0.000027,0.500511,257.325268,6916.198053,2023-11-03 19:39:33,0.0734,479875.0000,0.0744,6538861,479875,0,6696,486571,3181620135631
... and why!,https://www.youtube.com/watch?v=fzHqQPwyQHQ,0.038294,0.044567,0.000115,0.500290,64.911121,1745.895701,2024-04-22 20:43:12,0.0738,99736.0000,0.0744,1352017,99736,0,797,100533,135922325061
Does Hand-Fanning Actually Work?,https://www.youtube.com/watch?v=ufe55fG5zVA,0.042316,0.044504,0.000031,0.500432,619.674094,16719.827435,2025-06-26 02:30:07,0.0733,422769.0000,0.0741,5770956,422769,0,4999,427768,2468630306208
Me Before Vsauce,https://www.youtube.com/watch?v=ZYxwSKBD8U0,0.051516,0.044331,0.000012,0.500362,623.248863,16829.839867,2023-12-04 21:13:29,0.0733,1128604.0000,0.0741,15388807,1128604,0,11163,1139767,17539654387969
How Many Americans Have No Friends?,https://www.youtube.com/watch?v=C4-uK6OTR8g,0.044824,0.044447,0.000021,0.500586,1291.965257,34925.111599,2025-10-03 23:30:13,0.0728,623740.0000,0.0740,8566479,623740,0,10049,633789,5429340158931
1 Million Dots. 10 Colors.,https://www.youtube.com/watch?v=A35B8F5jBp0,0.047066,0.044211,0.000017,0.500321,403.449761,10927.830733,2023-09-19 20:05:59,0.0732,792203.0000,0.0738,10823177,792203,0,6968,799171,8649569186267
Is Neon Brown Possible?,https://www.youtube.com/watch?v=vnpOGuvZsX0,0.054895,0.044122,0.000010,0.500316,1033.304150,28075.442926,2024-07-24 17:29:05,0.0730,1396358.0000,0.0736,19134317,1396358,0,12101,1408459,26949900987503
The most famous pulsar in music history,https://www.youtube.com/watch?v=WkgZd5wvXno,0.040929,0.044080,0.000039,0.500175,129.883209,3533.633777,2022-12-16 21:06:52,0.0732,327641.0000,0.0735,4478460,327641,0,1581,329222,1474407558120
Cooling down water by BOILING it,https://www.youtube.com/watch?v=uHGE2i7Wd3s,0.056296,0.043814,0.000009,0.500234,661.775230,18102.789442,2023-04-13 18:49:23,0.0726,1511639.0000,0.0731,20808729,1511639,0,9750,1521389,31658171404581
The Strange Behavior of Virtual Images,https://www.youtube.com/watch?v=dnHoibl03BE,0.040319,0.043781,0.000042,0.500241,164.031933,4492.210453,2023-11-28 19:02:44,0.0725,299966.0000,0.0730,4134932,299966,0,2005,301971,1248629550972
The Ultimate Alphabet,https://www.youtube.com/watch?v=xkGjfoQg63Y,0.047261,0.043802,0.000016,0.500137,392.052280,10743.566587,2023-07-14 23:56:11,0.0727,825878.0000,0.0730,11358779,825878,0,3126,829004,9416473226116
Magnetic Zen Garden #shorts,https://www.youtube.com/watch?v=ct2Ysl9IvfY,0.039051,0.043441,0.000056,0.500350,60.287382,1659.338348,2021-05-14 21:55:45,0.0720,220703.0000,0.0727,3067033,220703,0,2160,222863,683528175479
THEY'RE HERE!,https://www.youtube.com/watch?v=xo5UkGhdTLM,0.038196,0.043250,0.000069,0.500337,140.221188,3886.586365,2024-09-19 00:59:31,0.0715,173687.0000,0.0722,2429969,173687,0,1650,175337,426063474553
